#,EPI,EPI1,EPI2,EPI3,EPI4,EPI5,EPI6,EPI7,EPI8,EPI9,EPI10,EPI11,ERE,HAQ,PMD,PMX,NXA,USD,UWD,WWT,SNM,NBA,TCL,FSS,TBN,TBG,MPA,SPI,BHV,TCI,TCE
"0,284251456297412",9,9,9,8,8,8,9,8,8,8,8,8,9,10,10,8,6,9,9,8,10,10,2,5,10,10,10,10,10,8,10
"0,28522147293778",4,4,4,0,1,5,4,2,2,5,4,3,1,1,10,10,9,4,6,0,10,10,,,9,9,,8,9,,10
"0,288916053786841",7,8,8,8,8,8,8,8,8,8,8,8,7,9,10,7,6,8,9,8,7,10,5,6,8,8,9,7,7,6,8
"0,290704323566034",7,7,6,9,9,5,7,8,8,6,6,7,5,10,6,4,2,10,10,9,,,,3,6,5,6,6,7,10,7
"0,295188893189357",7,6,6,5,5,7,6,6,6,7,6,6,7,6,10,10,10,9,10,5,6,10,,7,6,6,6,6,6,,10
"0,299411315019496",5,4,5,1,1,6,5,2,3,5,5,4,2,1,10,10,10,3,4,0,10,10,3,9,7,9,7,7,7,,10
"0,301928269344158",9,9,9,10,10,8,9,10,10,9,9,9,10,10,10,10,5,10,10,10,10,10,2,5,8,8,10,9,10,10,9
"0,303684799389294",8,8,8,7,7,7,8,7,7,8,8,7,8,10,10,8,8,10,10,7,3,0,8,2,10,10,0,9,10,8,10
"0,316964372392808",6,6,6,5,6,7,6,6,6,6,6,6,4,4,10,10,9,5,4,5,10,10,3,5,9,8,8,8,9,4,10
"0,320205521436363",8,8,8,6,6,8,8,7,7,8,8,8,9,9,10,10,8,8,8,6,6,10,6,2,9,9,8,9,10,10,10
"0,332091800905188",6,6,6,6,6,6,6,6,6,6,6,6,5,6,10,10,6,6,5,6,10,10,0,,6,5,,5,5,8,6
"0,332377753239612",5,6,6,0,1,6,6,3,3,6,6,4,5,2,5,4,9,8,6,0,9,10,6,6,6,6,5,6,6,10,10
"0,333785795045989",5,4,4,3,3,5,4,4,4,5,5,4,4,6,10,10,9,5,6,3,9,10,,,2,1,,4,3,,10
"0,337097607504757",3,3,3,0,0,4,3,1,2,3,3,2,3,1,10,10,10,4,0,0,,,,4,3,3,0,3,2,,10
"0,345829000577144",6,6,6,5,5,6,6,5,5,6,6,5,6,6,10,10,9,6,4,5,3,0,2,,8,8,,8,9,8,8
"0,347488109101922",4,3,4,0,1,5,4,2,2,4,4,3,1,1,10,10,9,2,1,0,10,10,,,8,8,,8,8,,10
"0,353084347047394",9,9,9,9,9,8,9,9,9,9,9,9,10,10,10,10,6,10,10,9,10,10,0,5,10,10,8,10,10,9,10
"0,364653127833565",5,5,5,2,2,5,5,3,3,5,5,4,5,5,10,10,10,5,9,2,7,10,,7,0,0,1,0,0,,10
"0,365652132950005",8,8,8,7,7,8,8,7,7,8,8,7,9,9,9,8,8,8,7,7,10,10,10,,7,7,,8,8,10,9
"0,370432756714391",5,5,5,2,2,6,5,4,4,5,5,4,6,8,10,10,10,7,8,2,3,10,,6,5,5,0,4,5,,10
"0,37143820820699",6,5,5,3,4,6,5,4,5,6,6,5,7,7,10,10,10,6,4,3,,,,3,10,10,10,5,9,,10
"0,371838235431154",7,7,7,9,9,6,7,8,8,7,7,7,7,10,3,2,0,10,8,9,8,0,7,6,7,7,8,7,7,7,5
"0,371875389107117",5,5,5,0,1,6,5,2,3,5,5,4,2,1,10,10,9,6,7,0,10,10,4,,10,10,,9,9,,10
"0,372662632071393",7,7,7,4,5,7,7,6,6,7,7,6,7,9,10,10,8,7,8,4,5,1,5,1,8,7,8,7,8,7,10
"0,374318130746611",7,7,6,6,6,6,7,6,6,7,6,6,7,8,10,9,9,9,7,6,10,10,,,8,8,,7,8,3,10
"0,378011310967491",8,8,8,9,9,7,8,8,8,8,8,8,8,10,6,5,0,10,10,9,9,0,3,5,10,10,10,10,10,8,9
"0,379589758434453",8,8,8,8,8,7,8,8,8,7,7,8,8,10,6,4,3,10,10,9,10,10,4,,10,10,,10,10,9,8
"0,379616591965825",7,7,6,4,4,6,6,5,5,6,6,6,10,10,9,7,8,5,10,4,0,0,,6,10,10,4,10,10,2,10
"0,386606547365474",4,4,4,0,1,5,4,2,2,4,4,3,0,1,10,10,9,1,3,0,10,10,,,10,10,,8,8,4,10
"0,391015581520497",4,5,5,0,1,6,5,2,3,5,5,3,4,3,10,10,9,5,3,0,10,10,6,5,2,2,0,4,4,5,10
"0,39213469237352",7,7,7,4,4,7,7,5,5,7,7,6,6,8,10,10,9,7,9,4,6,10,,,10,10,,8,9,7,10
"0,396348922914174",5,5,5,1,1,7,5,3,3,6,6,4,3,1,10,10,9,4,6,0,9,10,4,8,9,10,10,7,8,,10
"0,413428164008059",6,6,6,4,5,7,6,5,5,6,6,6,4,4,10,9,9,3,7,4,10,10,3,5,9,9,6,8,9,5,10
"0,414371351158564",8,8,8,8,7,7,8,8,8,8,8,8,8,9,7,5,4,10,10,8,10,10,4,,10,10,,10,10,9,9
"0,418341114011638",7,6,6,3,4,7,6,5,5,7,6,5,8,7,10,10,10,8,10,3,5,1,,6,9,9,9,7,6,,10
"0,423775783700808",7,7,7,8,8,7,7,7,7,7,7,7,7,10,9,8,5,9,10,8,8,10,7,6,2,2,6,1,1,5,5
"0,423818642785369",8,8,8,7,7,8,8,8,8,8,8,8,8,9,8,7,7,7,10,7,10,10,7,3,10,9,10,10,9,10,9
"0,424397859007518",7,7,7,6,6,8,7,7,7,7,7,7,7,10,10,10,8,7,6,6,10,10,,7,10,10,6,10,9,6,8
"0,42669780761709",8,8,8,7,7,8,8,7,8,8,8,7,9,9,10,10,9,7,8,7,5,2,5,4,9,9,8,9,9,7,10
"0,428043237821016",5,5,5,0,1,5,5,3,3,5,5,3,6,9,10,10,10,6,7,0,,,,5,4,4,6,3,3,,10
"0,432041288334445",4,4,5,1,1,6,4,2,3,5,5,3,3,1,10,10,10,3,5,0,8,10,3,8,4,6,6,4,4,,10
"0,43867131839196",9,8,8,9,9,6,8,9,9,7,7,8,9,10,10,8,2,9,10,10,7,0,,,10,10,,10,10,8,10
"0,450309188622709",7,7,7,5,6,7,7,6,6,7,7,6,6,6,10,10,9,7,8,5,6,10,1,3,9,7,8,8,8,9,10
"0,458297965607865",7,7,7,6,6,7,7,6,6,7,7,7,5,4,10,10,9,6,4,6,9,10,6,,10,10,,9,10,9,10
"0,460242919712633",4,4,5,1,1,5,5,2,3,5,5,3,4,6,10,10,9,5,4,0,8,10,,5,4,4,4,5,4,2,10
"0,475172637776145",7,7,7,5,6,8,7,6,6,8,7,7,8,9,10,10,10,8,10,5,7,10,3,3,10,10,10,10,10,,10
"0,476021736152909",9,9,9,9,9,8,9,9,9,9,9,9,9,10,10,8,3,10,10,9,10,10,6,6,10,10,10,10,10,8,7
"0,476808448321819",9,8,8,9,9,8,8,9,9,8,8,8,9,10,10,10,5,10,10,9,9,10,4,4,7,8,8,7,7,7,9
"0,493374633537667",6,6,6,2,3,6,6,4,4,6,6,5,7,7,4,4,8,7,9,2,8,10,2,4,8,8,9,8,8,3,7
"0,497846872632345",7,7,7,9,8,7,7,8,8,7,7,7,6,10,8,6,6,8,10,9,7,10,6,3,5,5,2,4,6,9,5
"0,499225738392459",8,8,8,8,8,7,8,8,8,7,7,8,7,9,10,10,10,8,6,8,5,1,3,8,9,10,10,9,9,9,
"0,499859789741803",9,9,9,10,10,8,9,9,9,8,9,9,9,10,10,9,6,8,10,10,8,10,1,4,10,10,10,9,10,8,10
"0,506104333058215",8,8,8,7,7,8,8,7,7,8,8,8,9,10,8,6,8,8,10,7,10,10,10,,10,10,,8,7,7,10
"0,514715567952689",6,6,6,3,3,8,6,4,4,7,7,5,5,5,10,10,9,3,5,2,10,10,8,6,10,10,9,8,9,3,10
"0,530910582377459",7,7,6,8,8,6,7,7,7,6,6,7,7,10,5,4,7,9,10,8,7,0,,3,8,7,9,6,6,5,6
"0,53896402146395",8,8,7,9,9,7,8,8,9,7,7,8,10,9,10,10,5,10,10,9,5,0,4,4,7,7,10,7,7,5,3
"0,543908619476865",5,5,5,3,3,6,5,4,4,5,5,4,4,1,10,10,9,6,7,3,10,10,,6,6,6,0,5,5,,10
"0,546515725610503",7,7,7,6,6,7,7,6,7,7,7,7,6,10,10,8,6,8,9,6,9,10,,3,6,6,8,6,6,6,6
"0,551290672201277",5,4,5,0,1,6,4,2,2,5,5,4,2,1,10,9,10,4,4,0,7,10,9,,10,10,,8,8,,10
"0,551372174082104",7,7,7,1,1,7,7,4,4,7,7,5,6,5,9,7,9,9,9,0,7,10,7,4,9,10,5,9,8,9,8
"0,551904386780598",8,8,8,9,9,8,8,9,9,8,8,8,9,10,10,8,4,7,9,9,10,10,5,6,7,7,9,7,7,9,7
